date	close
1-May-12	582.13
4-May-12	583.98
7-May-12	603
10-May-12	607.7
13-May-12	610
16-May-12	560.28
19-May-12	571.7
22-May-12	572.98
25-May-12	587.44
28-May-12	608.34
31-May-12	609.7
3-Jun-12	580.13
6-Jun-12	605.23
9-Jun-12	622.77
12-Jun-12	626.2
15-Jun-12	628.44
18-Jun-12	636.23
21-Jun-12	633.68
24-Jun-12	624.31
27-Jun-12	629.32
30-Jun-12	618.63
3-Jul-12	599.55
6-Jul-12	609.86
9-Jul-12	617.62
12-Jul-12	614.48
15-Jul-12	606.98
18-Jul-12	596.05
21-Jul-12	599.34
24-Jul-12	602.5
27-Jul-12	605.96
30-Jul-12	601.1
2-Aug-12	585.57
5-Aug-12	585.56
8-Aug-12	589.58
11-Aug-12	568.1
14-Aug-12	552
17-Aug-12	545.17
20-Aug-12	541.99
23-Aug-12	530.69
26-Aug-12	530.26
29-Aug-12	533.16
1-Sep-12	545.18
4-Sep-12	544.47
7-Sep-12	542.44
10-Sep-12	535.41
13-Sep-12	525.76
16-Sep-12	522.41
19-Sep-12	516.39
22-Sep-12	513.04
25-Sep-12	514.85
28-Sep-12	502.12
1-Oct-12	502.21
4-Oct-12	497.67
7-Oct-12	509.46
10-Oct-12	502.6
13-Oct-12	493.42
16-Oct-12	493.17
19-Oct-12	476.68
22-Oct-12	468.83
25-Oct-12	463.97
28-Oct-12	459.68
31-Oct-12	455.12
3-Nov-12	456.19
6-Nov-12	456.48
9-Nov-12	453.01
12-Nov-12	447.28
15-Nov-12	444.63
18-Nov-12	446.66
21-Nov-12	420.41
24-Nov-12	427.41
27-Nov-12	420.3
30-Nov-12	427.75
3-Dec-12	429.11
6-Dec-12	424.7
9-Dec-12	419.81
12-Dec-12	421.39
15-Dec-12	422.55
18-Dec-12	423.24
21-Dec-12	421.73
24-Dec-12	422.4
27-Dec-12	418.03
30-Dec-12	413.44
2-Jan-13	411.23
5-Jan-13	405
8-Jan-13	405.12
11-Jan-13	402.64
14-Jan-13	406.53
17-Jan-13	403.43
20-Jan-13	398.55
23-Jan-13	396.44
26-Jan-13	395.95
29-Jan-13	382.21
1-Feb-13	381.02
4-Feb-13	378.94
7-Feb-13	380.19
10-Feb-13	388.81
13-Feb-13	391.84
16-Feb-13	393.62
19-Feb-13	390.66
22-Feb-13	389.09
25-Feb-13	390.95
28-Feb-13	393.01
3-Mar-13	389.7
6-Mar-13	387.93
9-Mar-13	382.2
12-Mar-13	373.2
15-Mar-13	376.12
18-Mar-13	363.57
21-Mar-13	366.99
24-Mar-13	376.51
27-Mar-13	369.01
30-Mar-13	374.94
2-Apr-13	377.41
5-Apr-13	384.77
8-Apr-13	388.83
11-Apr-13	379.26
14-Apr-13	384.62
17-Apr-13	385.22
20-Apr-13	395.28
23-Apr-13	406.23
26-Apr-13	399.73
29-Apr-13	400.24
2-May-13	403.07
5-May-13	397.41
8-May-13	396.51
11-May-13	404.78
14-May-13	404.95
17-May-13	404.69
20-May-13	400.6
23-May-13	397.77
26-May-13	405.77
29-May-13	392.87
1-Jun-13	395.31
4-Jun-13	398.62
7-Jun-13	422.24
10-Jun-13	419.99
13-Jun-13	422
16-Jun-13	408.43
19-Jun-13	402.19
22-Jun-13	400.29
25-Jun-13	388.81
28-Jun-13	369.8
1-Jul-13	377.37
4-Jul-13	378.25
7-Jul-13	372.5
10-Jul-13	374.6
13-Jul-13	381.32
16-Jul-13	390.57
19-Jul-13	397.01
22-Jul-13	399.26
